time,thscode,ths_chg_ratio_m_stock
2014-02-28,002085.SZ,28.779979144943
2014-02-28,600297.SH,18.135593220339
2014-02-28,000333.SZ,-16.901408450704
2014-02-28,600036.SH,-4.1505791505791
2014-02-28,601333.SH,5.9288537549407
2014-02-28,601991.SH,4.5333333333333
2014-02-28,300024.SZ,-5.5776173285198
2014-02-28,000415.SZ,-0.60024009603842
2014-02-28,600535.SH,0.089206066012487
2014-02-28,601992.SH,-13.973063973064
2014-02-28,600362.SH,-3.2113517550411
2014-02-28,600820.SH,3.3018867924528
2014-02-28,601808.SH,-6.0153994225217
2014-02-28,601601.SH,-1.7104459376909
2014-02-28,600489.SH,8.3854818523154
2014-02-28,002555.SZ,4.1618762934008
2014-02-28,000728.SZ,-5.130890052356
2014-02-28,603288.SH,5.7822617075742
2014-02-28,600867.SH,2.5943396226415
2014-02-28,002241.SZ,-4.7437673130194
2014-02-28,000723.SZ,1.8018018018018
2014-02-28,600893.SH,-3.7578288100209
2014-02-28,601088.SH,-0.28901734104045
2014-02-28,600015.SH,0.0
2014-02-28,601006.SH,-6.33608815427
2014-02-28,002230.SZ,-7.0165745856354
2014-02-28,603993.SH,-2.5466893039049
2014-02-28,600030.SH,-6.4766839378238
2014-02-28,000898.SZ,-4.4368600682594
2014-02-28,601939.SH,-2.0304568527919
2014-02-28,600583.SH,-6.769596199525
2014-02-28,601318.SH,-1.635155850792
2014-02-28,000069.SZ,-7.7551020408163
2014-02-28,600999.SH,-8.4889643463497
2014-02-28,600048.SH,-13.127413127413
2014-02-28,002466.SZ,40.881823635273
2014-02-28,600009.SH,-3.8951310861423
2014-02-28,601989.SH,0.19267822736029
2014-02-28,002081.SZ,-2.4083769633508
2014-02-28,600111.SH,0.52656773575874
2014-02-28,002411.SZ,2.7184466019417
2014-02-28,002572.SZ,-11.969532100109
2014-02-28,601009.SH,0.25380710659899
2014-02-28,600795.SH,0.43478260869566
2014-02-28,601117.SH,-7.258064516129
2014-02-28,002304.SZ,28.001004520342
2014-02-28,002460.SZ,29.697452229299
2014-02-28,002468.SZ,0.87939698492462
2014-02-28,600352.SH,4.957264957265
2014-02-28,600376.SH,-7.5892857142857
2014-02-28,000559.SZ,88.503937007874
2014-02-28,300033.SZ,-15.011037527594
2014-02-28,002044.SZ,-1.1799410029499
2014-02-28,600276.SH,-3.629570322925
2014-02-28,601818.SH,-1.6064257028112
2014-02-28,600221.SH,0.54054054054055
2014-02-28,000783.SZ,-4.6137339055794
2014-02-28,000876.SZ,-4.0
2014-02-28,601866.SH,0.92165898617512
2014-02-28,600522.SH,8.0944350758853
2014-02-28,601398.SH,-2.0527859237537
2014-02-28,600398.SH,2.9579067121729
