time,thscode,ths_eps_fore_org_num_consensus_stock,ths_fore_eps_median_consensus_stock,ths_fore_roe_median_consensus_stock,ths_fore_np_growth_consensus_stock,ths_np_growth_3y_consensus_stock,ths_rating_org_num_stock,ths_rating_upper_num_stock,ths_rating_lower_num_stock,ths_rating_keep_num_stock,ths_rating_buy_num_stock,ths_rating_in_held_num_stock,ths_rating_neutrality_num_stock,ths_rating_de_held_num_stock,ths_rating_sell_num_stock,ths_target_price_compre_value_stock
2014-01-30,600535.SH,32,1.42,24.2,32.777387834213,17.079972055219,13,1,,12,9,3,1,0,0,52.525
2014-01-30,601992.SH,17,0.7879,13,16.413208004489,22.88605816723,7,,,7,7,0,0,0,0,9.5
2014-01-30,600362.SH,14,1.045,7.7,2.4566948864761,32.353766415801,1,,,1,0,1,0,0,0,
2014-01-30,600820.SH,3,0.5334,11.86,17.988818897022,10.662565676172,,,,,,,,,,
2014-01-30,601808.SH,18,1.6094,18,12.694573595237,293.0332722076,11,1,,10,9,2,0,0,0,27.575
2014-01-30,601601.SH,21,1.3,10.8,27.810788714578,24.634095691959,11,,1,10,5,6,0,0,0,22.1867
2014-01-30,600489.SH,15,0.35,7.3,149.19885570934,13.011994361401,1,,,1,0,1,0,0,0,
2014-01-30,002555.SZ,1,0.2475,,2084.0924058202,12.727835921246,,,,,,,,,,
2014-01-30,000728.SZ,9,0.35,5,3.8286265414091,4.186769121823,3,,,3,2,1,0,0,0,
2014-01-30,603288.SH,16,1.2761,25.545,18.436464691882,20.147856194865,,,,,,,,,,
2014-01-30,600867.SH,15,0.3798,15.6,107.97171258049,22.923779996135,6,,,6,3,2,1,0,0,18
2014-01-30,002241.SZ,26,1.3264,25.15,55.010193528938,5.5673251125074,6,,,6,3,3,0,0,0,43.835
2014-01-30,600893.SH,20,0.232,10,41.654686408285,23.17772233945,7,,,7,5,2,0,0,0,
2014-01-30,601088.SH,23,2.26,14.1,-1.757531673225,3.3774742321879,10,,,10,5,5,0,0,0,23.3333
2014-01-30,600015.SH,21,1.885,17.635,13.277346343044,5.0036689423429,8,,,8,3,5,0,0,0,10.85
2014-01-30,601006.SH,21,0.95,16.4,11.45143240325,4.2097556986394,9,,,9,7,2,0,0,0,10.55
2014-01-30,002230.SZ,15,0.4857,13.41,55.689520280288,46.427944888965,,,,,,,,,,
2014-01-30,603993.SH,5,0.2461,8.9,6.1588274905854,35.918454960568,,,,,,,,,,
2014-01-30,600030.SH,23,0.6,6.74,25.59762425721,10.357447053385,11,,,11,5,6,0,0,0,15.49
2014-01-30,000898.SZ,7,0.16,2.19,49.406523376623,15.323382625894,4,,,4,0,2,2,0,0,
2014-01-30,601939.SH,20,0.94,19.9,8.3353964389235,9.0226459124621,8,,,8,1,7,0,0,0,
2014-01-30,600583.SH,23,0.5926,15.8,-4.9586120056566,49.887875988448,12,3,,8,9,3,0,0,0,10.628
2014-01-30,601318.SH,20,3.8236,15.1,18.534945937167,24.03442899719,9,,,9,6,3,0,0,0,59.15
2014-01-30,000069.SZ,16,0.7882,19.45,30.225358063915,16.545062859468,5,,,5,3,2,0,0,0,7.725
2014-01-30,600999.SH,21,0.4414,9.065,17.887818412995,1.5995480728446,7,,1,6,2,4,1,0,0,
2014-01-30,600048.SH,31,1.2733,20.35,26.025067353468,25.341040024537,16,,,16,12,4,0,0,0,14.93
2014-01-30,002466.SZ,9,0.3977,2.94,165.96821261659,17.454355581746,3,1,,2,1,2,0,0,0,
2014-01-30,600009.SH,18,1.16,11.93,13.290481360567,15.864330526598,8,,,8,4,4,0,0,0,18.5
2014-01-30,601989.SH,18,0.2134,7.92,30.673687451162,14.470821004313,6,1,,5,5,1,0,0,0,7.5
2014-01-30,002081.SZ,22,1.2085,30.8,35.86738490056,17.435596509735,11,1,,10,10,1,0,0,0,29.775
2014-01-30,600111.SH,20,0.81,19.55,27.357521078325,16.403293685136,2,,,2,0,1,1,0,0,22.9
2014-01-30,002411.SZ,4,0.3216,8.75,264.60062348114,18.09077518297,1,,,1,1,0,0,0,0,
2014-01-30,002572.SZ,18,0.72,15.97,30.055501031018,22.956397373954,7,,,6,5,2,0,0,0,22.635
