positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
资深数值策划,FunPlus 趣加游戏,15k-30k,2019-11-22 14:03:30,13321,北京趣加科技有限公司,500-2000人,B轮,游戏,本科,徐汇区,"['虹梅路', '田林', '漕河泾']"
搜索推荐平台负责人,彩贝壳,40k-70k,2019-11-22 17:31:43,69466,上海绘享网络科技有限公司,150-500人,B轮,移动互联网,本科,长宁区,"['新华路', '天山路', '虹桥']"
商业数据分析师,HARB,10k-16k,2019-11-22 14:07:41,116876,哈步数据科技（上海）有限公司,50-150人,B轮,企业服务,本科,徐汇区,
高级数据分析师,Hypers,25k-40k,2019-11-22 14:58:36,24102,上海宏路数据技术股份有限公司,50-150人,上市公司,移动互联网,本科,虹口区,"['四平路', '四川北路', '东宝兴路']"
大数据架构师,Hypers,25k-40k,2019-11-22 14:58:38,24102,上海宏路数据技术股份有限公司,50-150人,上市公司,移动互联网,本科,虹口区,"['四平路', '四川北路', '东宝兴路']"
数据科学家,探知数据,40k-80k,2019-11-22 15:24:54,163790,上海勃池信息技术有限公司,50-150人,A轮,"金融,数据服务",本科,静安区,
数据产品经理,探知数据,18k-35k,2019-11-22 15:24:54,163790,上海勃池信息技术有限公司,50-150人,A轮,"金融,数据服务",硕士,静安区,
项目经理（上海）,安恒信息,12k-20k,2019-11-22 13:52:43,6462,杭州安恒信息技术股份有限公司,500-2000人,D轮及以上,"信息安全,数据服务",本科,长宁区,"['中山公园', '镇宁路']"
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据分析师,趣头条,25k-50k,2019-11-21 11:46:47,202104,上海基分文化传播有限公司,500-2000人,上市公司,文娱丨内容,本科,浦东新区,
数据分析师,亚朵集团,20k-30k,2019-11-19 17:21:35,453703,上海亚朵商业管理（集团）股份有限公司,2000人以上,不需要融资,"旅游,消费生活",本科,闵行区,['虹桥']
